eps_t,dt,opt_factor,grad_factor,energy_factor,stddev,|e-norm(H)|
4.958e-05,0.0001,4.958e-05,1.66e-06,4.82e-05,0.48597556,2.30581931
4.938e-05,0.0001,4.938e-05,2.29e-06,4.739e-05,0.47974689,2.30985591
4.913e-05,0.0001,4.912e-05,2.06e-06,4.639e-05,0.47213004,2.31469477
4.882e-05,0.0001,4.881e-05,2.39e-06,4.524e-05,0.46332574,2.32015689
4.854e-05,0.0001,4.853e-05,3.28e-06,4.424e-05,0.45569739,2.32477783
4.827e-05,0.0001,4.826e-05,1.93e-06,4.33e-05,0.44855947,2.32900965
4.794e-05,0.0001,4.794e-05,3.8e-06,4.224e-05,0.44049551,2.33368517
4.756e-05,0.0001,4.756e-05,6.9e-06,4.104e-05,0.43143127,2.33880957
4.706e-05,0.0001,4.706e-05,3.67e-06,3.944e-05,0.41902961,2.34560054
4.673e-05,0.0001,4.672e-05,1.567e-05,3.843e-05,0.41122801,2.34974472
4.643e-05,0.0001,4.642e-05,8e-05,3.748e-05,0.40353728,2.353735
4.658e-05,0.0001,4.657e-05,4.22e-06,3.691e-05,0.3962132,2.35744874
4.663e-05,0.0001,4.662e-05,6.602e-05,3.646e-05,0.39087948,2.36010089
4.661e-05,0.0001,4.66e-05,0.00012358,3.595e-05,0.38560222,2.36268201
4.711e-05,0.0001,4.711e-05,0.00010389,3.583e-05,0.38023298,2.36526464
4.787e-05,0.0001,4.787e-05,0.00030221,3.582e-05,0.37413354,2.36814583
4.95e-05,0.0001,4.95e-05,0.00059637,3.646e-05,0.36818583,2.3709019
5.486e-05,0.0001,5.485e-05,0.00081771,3.955e-05,0.36049231,2.37438951
6.286e-05,0.0001,6.285e-05,0.00052404,4.445e-05,0.35352187,2.37747478
7.034e-05,0.0001,7.033e-05,0.00076379,4.877e-05,0.34666393,2.38044177
7.507e-05,0.0001,7.506e-05,0.0011601,5.137e-05,0.342123,2.3823693
8.234e-05,0.0001,8.232e-05,0.00107789,5.561e-05,0.33763272,2.38424659
8.696e-05,0.0001,8.695e-05,0.00069152,5.831e-05,0.33520602,2.38524928
9.052e-05,0.0001,9.051e-05,0.00061875,6.026e-05,0.33279435,2.38623756
9.29e-05,0.0001,9.288e-05,0.00063914,6.142e-05,0.33053932,2.3871543
9.521e-05,0.0001,9.52e-05,0.00135902,6.252e-05,0.32823376,2.38808422
9.91e-05,0.0001,9.909e-05,0.00013277,6.461e-05,0.32594207,2.38900122
0.0001025,0.0001,0.00010249,0.00071698,6.626e-05,0.32316604,2.39010227
0.00010406,0.0001,0.00010404,0.00082347,6.674e-05,0.32064639,2.39109241
0.00010725,0.0001,0.00010723,0.00060119,6.825e-05,0.31814374,2.39206721
0.00010899,0.0001,0.00010897,0.00066427,6.903e-05,0.31664838,2.39264556
0.00011049,0.0001,0.00011047,0.00072544,6.966e-05,0.31515917,2.39321848
0.00011291,0.0001,0.00011289,3.7e-06,7.07e-05,0.31302451,2.39403444
0.00011372,0.0001,0.0001137,0.00044325,7.083e-05,0.31136806,2.39466332
0.00011406,0.0001,0.00011404,0.0002846,7.067e-05,0.30973227,2.39528069
0.00011489,0.0001,0.00011487,0.00048883,7.079e-05,0.30803031,2.39591918
0.0001158,0.0001,0.00011578,8.701e-05,7.096e-05,0.30631247,2.39655964
0.00011639,0.0001,0.00011637,0.00055345,7.091e-05,0.30456677,2.39720642
0.00011705,0.0001,0.00011703,0.00090274,7.093e-05,0.30289319,2.39782259
0.00011959,0.0001,0.00011957,0.00012235,7.196e-05,0.30080754,2.39858522
0.0001223,0.0001,0.00012228,6.047e-05,7.275e-05,0.29736743,2.39983035
0.00012197,0.0001,0.00012195,0.00144325,7.15e-05,0.29300488,2.40138659
0.00012776,0.0001,0.00012774,0.00117966,7.374e-05,0.28851622,2.40296137
0.00013921,0.0001,0.00013919,0.00036123,7.907e-05,0.28389595,2.4045545
0.00014529,0.0001,0.00014527,0.0009168,8.12e-05,0.27934125,2.40609749
0.00014889,0.0001,0.00014887,0.00037446,8.218e-05,0.27589703,2.40724624
0.0001518,0.0001,0.00015177,0.00027913,8.295e-05,0.27314156,2.40815411
0.00015275,0.0001,0.00015273,0.00148712,8.264e-05,0.27041135,2.40904392
0.00015562,0.0001,0.00015559,0.00232529,8.363e-05,0.26860118,2.40962854
0.00016233,0.0001,0.0001623,0.00227752,8.667e-05,0.26687003,2.41018367
0.00017174,0.0001,0.00017171,0.00198369,9.102e-05,0.26489808,2.41081129
0.00017963,0.0001,0.0001796,0.00157013,9.456e-05,0.2631029,2.4113783
0.00018927,0.0001,0.00018924,0.00168328,9.863e-05,0.26042582,2.41221614
0.00019781,0.0001,0.00019777,0.00184108,0.00010204,0.25780921,2.41302617
0.00020431,0.0001,0.00020428,0.00215476,0.00010465,0.25598977,2.41358424
0.00021048,0.0001,0.00021045,0.00215953,0.00010719,0.25449406,2.41403985
0.00021718,0.0001,0.00021714,0.00188325,0.00010995,0.25300637,2.41449018
0.00022304,0.0001,0.000223,0.00169475,0.0001123,0.25160667,2.4149113
0.00023187,0.0001,0.00023183,0.00184179,0.00011562,0.24918454,2.41563414
0.0002455,0.0001,0.00024546,0.00163037,0.00012057,0.24541024,2.41674567
0.00026422,0.0001,0.00026418,0.00122177,0.00012699,0.24015212,2.41826415
0.00027922,0.0001,0.00027917,0.00023565,0.00013122,0.23480653,2.41977219
0.00028457,0.0001,0.00028452,0.00068129,0.00013076,0.22957353,2.42121377
0.00028604,0.0001,0.00028599,0.00188318,0.00012861,0.22463701,2.42254236
0.00030135,0.0001,0.00030129,0.00229048,0.00013179,0.21847852,2.4241574
0.00032942,0.0001,0.00032936,0.00265484,0.00014015,0.21253146,2.42567246
0.00035632,0.0001,0.00035626,0.00182591,0.00014832,0.20791567,2.42681835
0.00037252,0.0001,0.00037246,0.00096232,0.00015274,0.20477463,2.42758317
0.00037788,0.0001,0.00037782,0.00235679,0.00015342,0.20277744,2.42806318
0.00038439,0.0001,0.00038432,0.00340904,0.00015461,0.20088341,2.4285139
0.00040009,0.0001,0.00040003,0.00077669,0.00015916,0.1986563,2.42903829
0.00040998,0.0001,0.00040991,0.00140173,0.00016138,0.19656457,2.4295253
0.00041319,0.0001,0.00041312,0.00319906,0.00016107,0.19466691,2.42996251
0.00042248,0.0001,0.00042241,0.00159543,0.00016324,0.19293157,2.43035851
0.00043144,0.0001,0.00043137,0.00222802,0.00016534,0.1913502,2.43071619
0.0004368,0.0001,0.00043672,0.00280886,0.00016627,0.19006505,2.43100463
0.00044311,0.0001,0.00044304,0.00013049,0.00016775,0.18901931,2.43123787
0.000446,0.0001,0.00044592,0.00106775,0.00016792,0.1879792,2.43146853
0.00044604,0.0001,0.00044596,0.00288722,0.000167,0.18693069,2.43169973
0.00045091,0.0001,0.00045084,3.589e-05,0.00016782,0.18581582,2.43194411
0.00045393,0.0001,0.00045385,0.001587,0.00016795,0.1847196,2.43218293
0.0004549,0.0001,0.00045482,0.0016076,0.00016699,0.18327565,2.4324953
0.00045911,0.0001,0.00045903,0.00263728,0.00016733,0.18195644,2.43277849
0.00046534,0.0001,0.00046526,0.00138893,0.00016842,0.18068453,2.43304954
0.00047074,0.0001,0.00047066,0.0002526,0.00016926,0.17949773,2.43330069
0.00047149,0.0001,0.00047141,0.00113463,0.00016842,0.17831859,2.43354855
0.00047171,0.0001,0.00047163,0.00032745,0.00016746,0.17721847,2.43377828
0.00047209,0.0001,0.00047201,0.00206472,0.00016646,0.17601531,2.43402788
0.00047423,0.0001,0.00047415,0.00011609,0.00016614,0.17487444,2.43426294
0.00047607,0.0001,0.00047599,0.00112764,0.00016563,0.17366482,2.43451047
0.00047597,0.0001,0.00047589,0.00103064,0.00016436,0.17236451,2.43477459
