eps_t,dt,opt_factor,grad_factor,energy_factor,stddev,|norm(H)|
0.0,0.0001,0.0,3.6e-07,0.0,0.73471608,1.3066
0.0,0.0001,0.0,4.3e-07,0.0,0.73471827,1.3066
0.0,0.0001,0.0,4.9e-07,0.0,0.73472046,1.3066
0.0,0.0001,0.0,6.6e-07,0.0,0.7347235,1.3066
0.0,0.0001,0.0,5.4e-07,0.0,0.73472776,1.3066
0.0,0.0001,0.0,5.5e-07,0.0,0.73473078,1.3066
0.0,0.0001,0.0,5.3e-07,0.0,0.7347338,1.3066
0.0,0.0001,0.0,5.4e-07,0.0,0.73473994,1.3066
0.0,0.0001,0.0,4.6e-07,0.0,0.73474652,1.3066
0.0,0.0001,0.0,5.9e-07,0.0,0.73475311,1.3066
0.0,0.0001,0.0,4.5e-07,0.0,0.73477502,1.3066
0.0,0.0001,1e-08,5.1e-07,0.0,0.73479611,1.3066
1e-08,0.0001,0.0,4.8e-07,0.0,0.7348211,1.3066
1e-08,0.0001,1e-08,5e-07,0.0,0.73482929,1.3066
1e-08,0.0001,0.0,5.2e-07,0.0,0.73483136,1.3066
1e-08,0.0001,1e-08,5.5e-07,0.0,0.73483343,1.3066
1e-08,0.0001,0.0,5e-07,0.0,0.7348369,1.3066
0.0,0.0001,0.0,4.8e-07,0.0,0.73484399,1.3066
0.0,0.0001,1e-08,5.7e-07,0.0,0.73485256,1.3066
0.0,0.0001,0.0,4.2e-07,0.0,0.73486193,1.3066
0.0,0.0001,0.0,4.2e-07,0.0,0.73488416,1.3066
0.0,0.0001,0.0,4e-07,0.0,0.73490616,1.3066
1e-08,0.0001,0.0,5.7e-07,0.0,0.73495231,1.3066
0.0,0.0001,0.0,3.9e-07,0.0,0.73496814,1.3066
0.0,0.0001,1e-08,6.8e-07,0.0,0.73497745,1.3066
1e-08,0.0001,1e-08,5.2e-07,0.0,0.73498676,1.3066
0.0,0.0001,0.0,6.8e-07,0.0,0.73499231,1.3066
0.0,0.0001,0.0,5.1e-07,0.0,0.7349951,1.3066
0.0,0.0001,0.0,5.7e-07,0.0,0.73499789,1.3066
0.0,0.0001,1e-08,4.9e-07,0.0,0.7350021,1.3066
