dt,opt_factor,grad_factor,energy_factor,stddev,|e-norm(H)|
0.010000000000000009,0.01472938,0.02863619,0.02320301,0.7726411,2.00412614
0.010000000000000009,0.0150971,0.02974311,0.02358137,0.76558874,2.01582467
0.010000000000000009,0.01547706,0.03087191,0.02395691,0.75843688,2.02730161
0.010000000000000009,0.01586661,0.03202514,0.02433803,0.7511933,2.0385558
0.010000000000000009,0.0162674,0.03320072,0.02472043,0.74386572,2.04958638
0.010000000000000009,0.01667296,0.03439866,0.02510614,0.73646178,2.06039282
0.010000000000000009,0.01708294,0.03561886,0.02548514,0.72898901,2.07097486
0.010000000000000009,0.0175016,0.03686112,0.02585662,0.72145483,2.08133256
0.010000000000000009,0.01793016,0.03812533,0.02622674,0.71386654,2.09146623
0.010000000000000009,0.01836651,0.03940941,0.0265971,0.7062313,2.10137647
0.010000000000000009,0.01880708,0.0407145,0.02696437,0.69855612,2.11106412
0.010000000000000009,0.01926249,0.04204166,0.02732328,0.69084788,2.12053026
0.010000000000000009,0.0197213,0.04338719,0.02768869,0.68311328,2.12977619
0.010000000000000009,0.02018186,0.04475152,0.02804439,0.67535886,2.13880344
0.010000000000000009,0.02065864,0.04613538,0.0283879,0.66759098,2.14761376
0.010000000000000009,0.02113643,0.04753592,0.02873913,0.65981585,2.15620905
0.010000000000000009,0.02162953,0.04895405,0.02907729,0.65203945,2.16459143
0.010000000000000009,0.02212297,0.05038837,0.02942145,0.64426761,2.17276316
0.010000000000000009,0.02263089,0.05183755,0.02975164,0.63650596,2.18072666
0.010000000000000009,0.02315278,0.05330233,0.03008635,0.62875995,2.18848451
0.010000000000000009,0.02367406,0.05477988,0.03042486,0.62103481,2.19603941
0.010000000000000009,0.0242086,0.05627028,0.03074817,0.6133356,2.20339418
0.010000000000000009,0.02474632,0.05777184,0.03107395,0.60566717,2.21055175
0.010000000000000009,0.02529169,0.05928456,0.03138956,0.59803418,2.21751517
0.010000000000000009,0.02584656,0.06080677,0.03170059,0.59044109,2.22428755
