t,params,num_params,num_time_steps,error_bound,error_bound_grad,error_grad,resid,fidelity,true_error,phase_agnostic_true_error,true_to_euler_error,trained_to_euler_error,target_energy,trained_energy,energy_error,h_norm,h_squared,h_trip,variance,dtdt_trained,re_im_grad
0,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],12,10,0.0,2.250000000000001,2.250000000000001,8.927344920363805e-16,1.0,0.0,1e-06,,,0.75,0.75,0.0,3.0,9.0,6.749999999999999,8.4375,3.3749999999999982,-3.3749999999999973
9.999999999999999e-05,"[-7.9100e-06 -7.1050e-05 -7.1050e-05  1.3424e-04  1.6581e-04 -1.5002e-04
 -1.5003e-04  1.6581e-04  1.3424e-04 -7.9000e-06 -7.1050e-05 -7.1060e-05]",12,10,0.0007521938498908701,9.944028105870718,2.249999948246975,1.6873724393568844e-08,0.99999995,0.000225,0.000225,,,0.74831225,0.7493249,0.00101265,3.0,9.0,6.743924088792582,8.438512196106212,3.3760124289948275,-3.3760124289948252
0.00026668141873880725,"[-2.1140e-05 -1.8947e-04 -1.8949e-04  3.5810e-04  4.4228e-04 -4.0014e-04
 -4.0021e-04  4.4227e-04  3.5809e-04 -2.1110e-05 -1.8949e-04 -1.8951e-04]",12,10,0.002627311613813863,12.06341528485071,2.249999631864986,1.2004878537855433e-07,0.99999964,0.00060003,0.00060003,,,0.74549795,0.74819918,0.00270123,3.0,9.000000000000002,6.733792623903984,8.440197986398227,3.377699643005655,-3.377699643005656
0.0008302585400780264,"[-6.63800e-05 -5.89810e-04 -5.89970e-04  1.11612e-03  1.37791e-03
 -1.24650e-03 -1.24721e-03  1.37788e-03  1.11600e-03 -6.60500e-05
 -5.89970e-04 -5.90140e-04]",12,10,0.009899368640456516,13.335021942345211,2.24999642942368,1.1650461421854017e-06,0.99999651,0.00186807,0.00186807,,,0.73597203,0.74438878,0.00841675,3.0,9.000000000000002,6.699499003154335,8.445885346996718,3.3834014145774045,-3.383401414577407
0.003213729223467822,"[-0.00026623 -0.00228183 -0.00228421  0.0043405   0.00534939 -0.00483722
 -0.00484788  0.00534908  0.0043387  -0.00026124 -0.00228423 -0.00228668]",12,10,0.04279421258063522,14.079300273266217,2.2499463523467482,1.7547558520975942e-05,0.99994772,0.00723035,0.00723035,,,0.69551241,0.72820292,0.03269051,3.0,9.000000000000002,6.553826273333914,8.469720508382201,3.407461919943761,-3.4074619199437626
0.010186703289132236,"[-0.00093086 -0.00722155 -0.00724502  0.01394419  0.01710047 -0.01544456
 -0.01555423  0.0171013   0.01392933 -0.00087939 -0.00724518 -0.00727116]",12,10,0.14454127692983307,15.079260530702632,2.2494566093071913,0.00017896043088945295,0.99947553,0.0229028,0.0229028,,,0.57565239,0.68019472,0.10454233,3.0,9.0,6.121752489815231,8.537335141400506,3.477280104244698,-3.4772801042446995
0.03302292790403995,"[-0.00397079 -0.02328693 -0.02351288  0.04710584  0.05687653 -0.05116984
 -0.05241399  0.05703106  0.04706691 -0.00337926 -0.02351685 -0.02383811]",12,10,0.5279069764755481,18.64110655002249,2.2441457667217413,0.0019662065890796838,0.99457591,0.07369851,0.07369851,,,0.17163809,0.51629566,0.34465757,3.0,8.999999999999998,4.646660952211024,8.733438790064163,3.697248567769052,-3.697248567769051
0.05605224608216998,"[-0.00845416 -0.03931637 -0.03987418  0.08299711  0.09874225 -0.08849126
 -0.09236461  0.09964234  0.08324446 -0.00658689 -0.03990911 -0.04098391]",12,10,1.0070347314158057,23.08274394223986,2.2327607476788573,0.005882158380408426,0.98489735,0.12312638,0.12312638,,,-0.24217389,0.34127625,0.58345014,3.0,9.000000000000002,3.071486293735121,8.883530517869104,3.8983099614936494,-3.898309961493651
0.07217322264776196,"[-0.01249807 -0.05044771 -0.05122818  0.10942087  0.12890046 -0.11520065
 -0.1219808   0.13094494  0.11025978 -0.00919641 -0.05133164 -0.05329581]",12,10,1.4047610285146672,26.14935965270071,2.2210485933188098,0.00996829599346459,0.97581787,0.15598113,0.15598113,,,-0.52734508,0.21355866,0.74090374,3.0,8.999999999999996,1.9220279559576836,8.954392697981689,4.021335844098223,-4.021335844098224
0.08829419921335395,"[-0.0173329  -0.06152546 -0.06242962  0.13677774  0.15960115 -0.14223153
 -0.1529433   0.16350829  0.13868024 -0.01206233 -0.06267673 -0.06590001]",12,10,1.4142135623730951,0.0,2.2062174791900206,0.015191966513537212,0.96535652,0.18694609,0.18694609,,,-0.80301021,0.08216377,0.88517398,3.0,8.999999999999995,0.7394739523853612,8.993249114490656,4.125853549007085,-4.125853549007086
0.11129881762887649,"[-0.02568217 -0.07729418 -0.07799452  0.17717161  0.20405675 -0.18105148
 -0.19942386  0.21221395  0.1816473  -0.01650335 -0.07866548 -0.08445924]",12,10,1.4142135623730951,0.0,2.1797509071636516,0.02460713593363289,0.94904247,0.22720868,0.22720868,,,-1.17147516,-0.11039635,1.06107881,3.0,9.0,-0.9935671809361157,8.987812645147736,4.236498627866962,-4.236498627866968
0.29934132469184377,"[-0.16398253 -0.21638959 -0.15125651  0.51652453  0.54393864 -0.44201573
 -0.648451    0.67927527  0.59410949 -0.04799344 -0.18461334 -0.26610974]",12,10,1.4142135623730951,0.0,1.8717549756872585,0.1542665780014803,0.87263849,0.36290161,0.36290161,,,-2.7366811,-1.58434507,1.15233603,3.0,8.999999999999998,-14.259105658257978,6.489850689217718,2.986384000207709,-2.9863840002077087
