eps_t,dt,opt_factor,grad_factor,energy_factor,stddev,|e-norm(H)|
5.943e-05,0.010000000000000009,5.896e-05,6e-07,9.607e-05,0.80824953,1.93875059
5.993e-05,0.010000000000000009,5.944e-05,1.38e-06,9.61e-05,0.80179594,1.95176585
6.041e-05,0.010000000000000009,5.991e-05,4.8e-07,9.608e-05,0.7951947,1.96457225
6.087e-05,0.010000000000000009,6.035e-05,1.25e-06,9.6e-05,0.78845317,1.97716699
6.132e-05,0.010000000000000009,6.078e-05,5.2e-07,9.586e-05,0.7815791,1.98954752
6.174e-05,0.010000000000000009,6.118e-05,8.3e-07,9.565e-05,0.77458066,2.00171133
6.214e-05,0.010000000000000009,6.156e-05,8.3e-07,9.539e-05,0.76746538,2.01365666
6.253e-05,0.010000000000000009,6.193e-05,6.8e-07,9.507e-05,0.76024109,2.02538184
6.289e-05,0.010000000000000009,6.227e-05,7.5e-07,9.47e-05,0.75291516,2.0368858
6.323e-05,0.010000000000000009,6.259e-05,1.02e-06,9.427e-05,0.74549517,2.04816764
6.355e-05,0.010000000000000009,6.29e-05,1.05e-06,9.38e-05,0.73798866,2.05922664
6.385e-05,0.010000000000000009,6.318e-05,8e-07,9.327e-05,0.73040233,2.07006311
6.412e-05,0.010000000000000009,6.344e-05,6.4e-07,9.269e-05,0.72274387,2.08067663
6.437e-05,0.010000000000000009,6.368e-05,5.4e-07,9.206e-05,0.71502076,2.09106707
6.46e-05,0.010000000000000009,6.389e-05,1.05e-06,9.138e-05,0.70723956,2.10123539
6.481e-05,0.010000000000000009,6.409e-05,1.19e-06,9.067e-05,0.69940721,2.11118222
6.5e-05,0.010000000000000009,6.426e-05,7.1e-07,8.991e-05,0.69152992,2.12090902
6.517e-05,0.010000000000000009,6.441e-05,5.8e-07,8.91e-05,0.68361381,2.13041741
6.531e-05,0.010000000000000009,6.454e-05,6.3e-07,8.826e-05,0.67566662,2.13970749
6.543e-05,0.010000000000000009,6.465e-05,1.26e-06,8.738e-05,0.66769339,2.14878199
6.553e-05,0.010000000000000009,6.474e-05,1.09e-06,8.647e-05,0.65970032,2.15764256
6.562e-05,0.010000000000000009,6.481e-05,1e-06,8.553e-05,0.65169327,2.16629116
6.567e-05,0.010000000000000009,6.486e-05,1.17e-06,8.455e-05,0.64367748,2.17473033
6.571e-05,0.010000000000000009,6.489e-05,1.12e-06,8.355e-05,0.63565828,2.18296248
6.573e-05,0.010000000000000009,6.489e-05,8.2e-07,8.252e-05,0.62764184,2.19098924
6.573e-05,0.010000000000000009,6.488e-05,1.35e-06,8.146e-05,0.61963265,2.19881374
6.571e-05,0.010000000000000009,6.485e-05,1.48e-06,8.038e-05,0.61163445,2.20643968
6.567e-05,0.010000000000000009,6.48e-05,1.08e-06,7.928e-05,0.60365323,2.21386872
6.56e-05,0.010000000000000009,6.473e-05,1.26e-06,7.816e-05,0.59569236,2.22110471
6.552e-05,0.010000000000000009,6.464e-05,1.18e-06,7.703e-05,0.58775579,2.22815094
6.542e-05,0.010000000000000009,6.453e-05,1.19e-06,7.587e-05,0.57984908,2.23500924
6.53e-05,0.010000000000000009,6.441e-05,8.9e-07,7.471e-05,0.57197543,2.24168337
6.516e-05,0.010000000000000009,6.426e-05,1.31e-06,7.353e-05,0.5641383,2.24817675
6.501e-05,0.010000000000000009,6.41e-05,1.69e-06,7.234e-05,0.55634128,2.25449259
6.484e-05,0.010000000000000009,6.392e-05,1.25e-06,7.114e-05,0.54858699,2.26063475
6.465e-05,0.010000000000000009,6.373e-05,1.13e-06,6.994e-05,0.5408791,2.26660617
6.444e-05,0.010000000000000009,6.352e-05,1.23e-06,6.873e-05,0.53321949,2.27241104
6.422e-05,0.010000000000000009,6.329e-05,1.15e-06,6.751e-05,0.52561291,2.2780513
6.398e-05,0.010000000000000009,6.305e-05,1.79e-06,6.629e-05,0.51806041,2.28353152
6.373e-05,0.010000000000000009,6.28e-05,1.88e-06,6.508e-05,0.51056237,2.28885659
6.347e-05,0.010000000000000009,6.253e-05,1.58e-06,6.387e-05,0.503127,2.29402573
6.319e-05,0.010000000000000009,6.225e-05,2.08e-06,6.265e-05,0.49575269,2.29904504
6.29e-05,0.010000000000000009,6.196e-05,1.61e-06,6.145e-05,0.48843965,2.30391909
6.259e-05,0.010000000000000009,6.165e-05,1.24e-06,6.024e-05,0.48119251,2.30864941
6.227e-05,0.010000000000000009,6.133e-05,3.33e-06,5.903e-05,0.47401295,2.31323937
6.195e-05,0.010000000000000009,6.101e-05,2.35e-06,5.785e-05,0.46690261,2.31769234
6.161e-05,0.010000000000000009,6.067e-05,3.44e-06,5.667e-05,0.45986185,2.32201232
6.127e-05,0.010000000000000009,6.034e-05,2.72e-06,5.551e-05,0.45288509,2.3262068
