t,params,num_params,num_time_steps,error_bound,error_grad,resid,fidelity,true_error,true_to_euler_error,trained_to_euler_error,target_energy,trained_energy,energy_error,h_norm,h_squared,variance,dtdt_trained,re_im_grad
0.0,"[0.         0.         0.         0.         1.57079633 1.57079633
 0.         0.        ]",8,20,0.040000000000000153,0.800000000000003,3.542888763107565e-08,1.0,0.0,0.0,0.0,0j,0j,0j,,1.64,(1.64+0j),0.9999999850878534,0.9999999925439244
0.05,"[ 0.00000000e+00 -5.00000000e-08 -2.80000000e-07  1.00000000e-08
  1.57079633e+00  1.57079638e+00  1.00000000e-08  1.00000000e-01]",8,20,0.07980016661591877,0.7960033323183722,1.1476953678295194e-07,0.99840085,0.03999733,0.002863356453152164,0.04001952377352647,0j,(-0+0j),(-0+0j),,1.6400000000579298,(1.6400000000579298+4.000432536940359e-26j),1.0063786794815506,1.0063786872387637
0.1,"[-3.00000000e-08 -1.20000000e-07 -6.80000000e-07  1.00000000e-08
  1.57878300e+00  1.57079645e+00 -1.00000000e-08  2.00000000e-01]",8,20,0.1186035003436113,0.7760666745538507,8.527083535562316e-08,0.9937242,0.07928229,0.008268593886510215,0.07961531736145931,-0j,(2e-08+0j),(2e-08+0j),,1.627476179313811,(1.6274761793138106+0j),1.0251966797723862,1.0251966878665624
0.15000000000000002,"[-9.00000000e-08 -1.90000000e-07 -1.24000000e-06  2.00000000e-08
  1.59467655e+00  1.57079651e+00 -1.00000000e-08  2.99996810e-01]",8,20,0.155623100174115,0.7403919966100734,4.611810310863738e-07,0.98636731,0.11695928,0.016161000574055118,0.11797038053834974,0j,(7e-08+0j),(7e-08+0j),,1.6035016020785064,(1.603501602078501+0j),1.0553212767847546,1.055321285109505
0.2,"[-2.60000000e-07 -2.60000000e-07 -2.00000000e-06  3.00000000e-08
  1.61831792e+00  1.57079660e+00 -4.00000000e-08  3.99968300e-01]",8,20,0.19009084842629306,0.6893549650435616,8.850732829885915e-07,0.97697918,0.15216718,0.02640284443397605,0.15428323711603545,0j,(1.5e-07+0j),(1.5e-07-0j),,1.5699929634852487,(1.569992963485227+0j),1.0947826784883028,1.0947826870716706
0.25,"[-5.50000000e-07 -3.30000000e-07 -2.98000000e-06  4.00000000e-08
  1.64946905e+00  1.57079671e+00 -7.00000000e-08  4.99855400e-01]",8,20,0.22126734396160055,0.6235299107061498,1.4322447836181765e-06,0.96639445,0.18409978,0.038787939491204695,0.1877789381623832,0j,(2.7e-07+0j),(2.7e-07-0j),,1.5296383083033096,(1.529638308303238+0j),1.1408487411442896,1.1408487499511901
0.30000000000000004,"[-1.02000000e-06 -4.50000000e-07 -4.20000000e-06  5.00000000e-08
  1.68781294e+00  1.57079679e+00 -8.00000000e-08  5.99546090e-01]",8,20,0.2484535297246404,0.5437237152607969,2.0969731491233016e-06,0.95554847,0.2120302,0.05305115404918311,0.21772243053883353,0j,(5.1e-07+0j),(5.1e-07+0j),,1.48577978226934,(1.4857797822690793-5.668543674793932e-23j),1.1901442857574664,1.1901442947449012
0.35000000000000003,"[-1.66000000e-06 -6.20000000e-07 -6.07000000e-06  5.00000000e-08
  1.73295436e+00  1.57079698e+00 -3.00000000e-08  6.98862230e-01]",8,20,0.2710041011187358,0.45101142788190796,3.100639301524751e-06,0.94538153,0.23534093,0.0688795258981219,0.2434350320074725,0j,(7e-07+0j),(7e-07+0j),,1.4422388283438372,(1.442238828343342+0j),1.2388275019768948,1.2388275111203273
0.4,"[-2.55000000e-06 -8.70000000e-07 -8.11000000e-06  1.00000000e-08
  1.78442213e+00  1.57079709e+00  1.00000000e-07  7.97550340e-01]",8,20,0.2883423436181738,0.3467648499887598,3.930310590223303e-06,0.9367404,0.25356064,0.0859257880944969,0.26431437825886656,0j,(1.05e-06+0j),(1.05e-06+0j),,1.4030765119196824,(1.4030765119185866+0j),1.2828306318521068,1.2828306412920312
0.45,"[-3.56000000e-06 -1.00000000e-06 -1.02700000e-05 -7.00000000e-08
  1.84167391e+00  1.57079722e+00  3.40000000e-07  8.95277210e-01]",8,20,0.29997558822585885,0.23266489215370095,4.334800669474173e-06,0.93028563,0.26640887,0.10382427360810209,0.2798578488009135,0j,(1.14e-06-0j),(1.14e-06-0j),,1.372293368865123,(1.3722933688638308+1.262096518267869e-22j),1.3181603974352851,1.3181604071297575
0.0,"[0.         0.         0.         0.         1.57079633 1.57079633
 0.         0.        ]",8,20,0.04002390609244436,0.8004781218488872,0.014340433960097093,1.0,0.0,0.0,0.0,0j,0j,0j,,1.64,(1.64+0j),0.9542984312286575,0.9767666038349677
0.05,"[-7.48470000e-04 -3.78710000e-04  0.00000000e+00  0.00000000e+00
  1.57004785e+00  1.57041762e+00 -7.48470000e-04  9.76766600e-02]",8,20,0.07989637616993298,0.7974494015497721,0.014836241157293262,0.998396,0.04005796,0.002863356453152164,0.0400603406749046,0j,(0.00129551+0j),(0.00129551+0j),,1.6411923019026697,(1.641190623551752-1.7978838365078036e-20j),0.9584499940031498,0.981858373936865
0.1,"[-1.59503000e-03 -8.07490000e-04 -3.00000000e-08 -3.69800000e-05
  1.57694847e+00  1.56999400e+00 -1.45607000e-03  1.95323150e-01]",8,20,0.11885640273978232,0.779200531396987,0.015336215921469233,0.99369334,0.07947728,0.00834535762839908,0.07976126543673,-0j,(0.00262565+0j),(0.00262565+0j),,1.6303458295179625,(1.6303389354645244-7.287650912248473e-20j),0.9741069458462831,0.9986496536174493
0.15000000000000002,"[-2.51940000e-03 -1.29712000e-03 -1.80000000e-07 -1.15800000e-04
  1.59142548e+00  1.56953107e+00 -2.10903000e-03  2.92940270e-01]",8,20,0.156152721479058,0.7459263747855137,0.015856566175541233,0.98626425,0.11740217,0.016399036782382546,0.11832478996789342,0j,(0.00395239+0j),(0.00395239+0j),,1.6084067019954724,(1.608391080613797-4.38803367289895e-19j),1.000265281285125,1.0261329133399695
0.2,"[-3.49923000e-03 -1.85989000e-03 -5.90000000e-07 -2.42370000e-04
  1.61333167e+00  1.56903479e+00 -2.69504000e-03  3.90511150e-01]",8,20,0.191051847066583,0.6979825117505,0.01640981289100742,0.97672468,0.15301122,0.026896918560281702,0.15498843201116214,0j,(0.00523797+0j),(0.00523797-0j),,1.5770956302130872,(1.5770681939318985-2.9076548764711443e-19j),1.0351772492634481,1.0625466463834992
0.25,"[-4.51084000e-03 -2.50882000e-03 -1.44000000e-06 -4.23660000e-04
  1.64244554e+00  1.56851136e+00 -3.20388000e-03  4.87985130e-01]",8,20,0.22284731131364185,0.6359092849411766,0.017006956802766985,0.96587241,0.18553712,0.039645384591737554,0.18901571135829853,0j,(0.00644733+0j),(0.00644733-0j),,1.5388443347528387,(1.5388027667494055+0j),1.076407503446865,1.1054356097626525
0.30000000000000004,"[-5.53020000e-03 -3.25696000e-03 -2.96000000e-06 -6.67710000e-04
  1.67847139e+00  1.56796693e+00 -3.62847000e-03  5.85262990e-01]",8,20,0.2508706345339675,0.5604664644065133,0.01765366084444572,0.95460721,0.21429023,0.05439360055994922,0.21970883270985628,0j,(0.0075502+0j),(0.0075502+0j),,1.4966939825354726,(1.4966369770000614+0j),1.1209505652189402,1.1517609450150377
0.35000000000000003,"[-6.53368000e-03 -4.11650000e-03 -5.34000000e-06 -9.83390000e-04
  1.72104021e+00  1.56740752e+00 -3.96551000e-03  6.82185290e-01]",8,20,0.27450449116266545,0.4726771325739585,0.018352529657324576,0.94384051,0.23868708,0.07084389757553008,0.24642420017140543,0j,(0.00852203+0j),(0.00852203+0j),,1.454144164673806,(1.4540715396627324+0j),1.1653792880191087,1.1980498905172876
0.4,"[-7.49891000e-03 -5.09798000e-03 -8.78000000e-06 -1.37997000e-03
  1.76971199e+00  1.56683878e+00 -4.21612000e-03  7.78523960e-01]",8,20,0.29319889790695225,0.3738881348857357,0.019098536340075446,0.93440241,0.25828497,0.08866439731679379,0.2685911844159456,0j,(0.00934397+0j),(0.00934397+0j),,1.414946229748681,(1.4148589200185557-1.0373887948024916e-18j),1.2060707714294532,1.2406123318849
0.45,"[-8.40515000e-03 -6.20946000e-03 -1.33800000e-05 -1.86661000e-03
  1.82398074e+00  1.56626598e+00 -4.38612000e-03  8.73978830e-01]",8,20,0.30649445785800633,0.2659111990210813,0.019883182065992655,0.92695387,0.27282338,0.10750388388452992,0.2857341163294753,0j,(0.01000171+0j),(0.01000171+0j),,1.3828430353349705,(1.3827430012307396-1.1104123249989486e-18j),1.2394502033362504,1.275792236453196
0.5,"[-9.23374000e-03 -7.45586000e-03 -1.91600000e-05 -2.45155000e-03
  1.88328214e+00  1.56569385e+00 -4.48632000e-03  9.68178360e-01]",8,20,0.3140825628594938,0.15176210002974935,0.0206938816821456,0.9219109,0.28227341,0.12700860778759385,0.2974975585250795,-0j,(0.01048393+0j),(0.01048393+0j),,1.3612720692402758,(1.361162156366773+0j),1.2622798952889578,1.3002601147618968
0.55,"[-9.96841000e-03 -8.83842000e-03 -2.60000000e-05 -3.14130000e-03
  1.94700468e+00  1.56512649e+00 -4.53302000e-03  1.06068544e+00]",8,20,0.3165277297441365,0.04890333769285426,0.02150865704445602,0.91938691,0.28689644,0.14684058003884273,0.30367499681935467,-0j,(0.01078055+0j),(0.01078055+0j),,1.3530614771008254,(1.3529452568094276+0j),1.271965839327921,1.3113178899956226
0.6000000000000001,"[-1.05952200e-02 -1.03541700e-02 -3.37000000e-05 -3.93965000e-03
  2.01450471e+00  1.56456737e+00 -4.54821000e-03  1.15100859e+00]",8,20,0.32215171607765636,0.11247972667039643,0.022301257566970302,0.91915871,0.28731256,0.16669674728818135,0.3042418369368385,0j,(0.01088103+0j),(0.01088103+0j),,1.3601594689533791,(1.360041072087122+0j),1.2667883569131273,1.3071480684773296
0.65,"[-1.11028900e-02 -1.19956600e-02 -4.19400000e-05 -4.84681000e-03
  2.08512387e+00  1.56401931e+00 -4.56078000e-03  1.23861657e+00]",8,20,0.3339333196729447,0.2356320719057675,0.023036656391502222,0.92066028,0.28457673,0.18632829909788734,0.2993959178825765,0j,(0.01077347-0j),(0.01077347-0j),,1.3834402455806027,(1.3833241778622754+1.1960957668772824e-18j),1.2460910784691053,1.2870044253695516
0.7000000000000001,"[-1.14829700e-02 -1.37507000e-02 -5.03500000e-05 -5.85858000e-03
  2.15820908e+00  1.56348461e+00 -4.60789000e-03  1.32295652e+00]",8,20,0.3519885569561577,0.36110474566425976,0.02367287596820773,0.9230082,0.28024884,0.20555934355619018,0.28961170916602896,0j,(0.01044417+0j),(0.01044417+0j),,1.4226204290458888,(1.4225113484561083+0j),1.2103399631452656,1.2512818774249523
0.75,"[-1.17305300e-02 -1.56023500e-02 -5.85600000e-05 -6.96583000e-03
  2.23313309e+00  1.56296517e+00 -4.73747000e-03  1.40347339e+00]",8,20,0.3761980358401715,0.4841895776802753,0.02416754426631909,0.92505937,0.27641682,0.22430402915146416,0.2757199600609937,0j,(0.00987761+0j),(0.00987761+0j),,1.4763023446208094,(1.4762047774834344+0j),1.1610454046624425,1.2014541010745243
0.8,"[-1.18454600e-02 -1.75291900e-02 -6.62300000e-05 -8.15412000e-03
  2.30931358e+00  1.56246265e+00 -5.01258000e-03  1.47962842e+00]",8,20,0.406319207305212,0.6024234293008098,0.0244721841551124,0.92549879,0.27558946,0.24258107308111024,0.25903018528562155,0j,(0.00905626-0j),(0.00905626-0j),,1.542135987401647,(1.5420539715172106+1.0054470774775403e-18j),1.1006186362597705,1.139920317745435
0.8500000000000001,"[-1.18342100e-02 -1.95057500e-02 -7.31100000e-05 -9.40386000e-03
  2.38623077e+00  1.56197878e+00 -5.51706000e-03  1.55091662e+00]",8,20,0.4420153712905827,0.713923279707415,0.024540694155386365,0.92295101,0.28035509,0.26052441566047885,0.24150875840824332,0j,(0.00795987+0j),(0.00795987+0j),,1.6170710113638456,(1.6170076518184275+0j),1.0320936002167946,1.0697390811362242
0.9,"[-1.17127500e-02 -2.15033000e-02 -7.90200000e-05 -1.06906600e-02
  2.46344059e+00  1.56151560e+00 -6.36460000e-03  1.61688014e+00]",8,20,0.482875422693338,0.8172010280551055,0.024318956575907213,0.91610353,0.29281059,0.2783882440345145,0.22597953204817117,0j,(0.0065636+0j),(0.0065636-0j),,1.6976536877594717,(1.697610606861781+0j),0.9588725934643236,0.994354380484737
0.9500000000000001,"[-1.15099600e-02 -2.34907700e-02 -8.39000000e-05 -1.19861200e-02
  2.54058470e+00  1.56107608e+00 -7.70921000e-03  1.67711865e+00]",8,20,0.5284316720027199,0.9111249861876387,0.02374278312304276,0.90382907,0.31401119,0.2965443435891512,0.2161498418680038,0j,(0.0048363+0j),(0.0048363+0j),,1.7803238011625517,(1.7803004113235616+0j),0.884435530349617,0.917305295528372
1.0,"[-1.12723100e-02 -2.54358100e-02 -8.77200000e-05 -1.32589000e-02
  2.61739565e+00  1.56066496e+00 -9.75390000e-03  1.73129531e+00]",8,20,0.5284316720027199,,0.02374278312304276,0.88529163,0.34380409,0.3154695142852565,0.21601180729721392,0j,(0.00274088+0j),(0.00274088+0j),,,,,
0,"[0.         0.         0.         0.         1.57079633 1.57079633
 0.         0.        ]",8,20,,,1.2450415328464397,0.02868050553278064,1.0,0.0,,,0.0,0.0,0.0,,1.6400000000000008,1.6400000000000008,3.817196020211657,1.9535338008495229
