eps_t,dt,opt_factor,grad_factor,energy_factor,stddev,|e-norm(H)|
1.593e-05,0.0001,1.593e-05,1.18e-06,1.853e-05,0.58149468,2.23398015
1.591e-05,0.0001,1.59e-05,1.48e-06,1.812e-05,0.56965739,2.24399015
1.585e-05,0.0001,1.585e-05,1.08e-06,1.736e-05,0.54757237,2.2617734
1.58e-05,0.0001,1.58e-05,1.34e-06,1.693e-05,0.53556597,2.27097786
1.575e-05,0.0001,1.575e-05,1.49e-06,1.657e-05,0.5258849,2.27817279
1.571e-05,0.0001,1.571e-05,1.27e-06,1.628e-05,0.5183254,2.28365423
1.566e-05,0.0001,1.566e-05,1.63e-06,1.6e-05,0.51082276,2.28897868
1.56e-05,0.0001,1.56e-05,1.82e-06,1.57e-05,0.50299247,2.29441527
1.555e-05,0.0001,1.554e-05,2.13e-06,1.539e-05,0.49504181,2.29981227
1.546e-05,0.0001,1.546e-05,2.04e-06,1.497e-05,0.4839186,2.30715947
1.538e-05,0.0001,1.538e-05,2.52e-06,1.457e-05,0.47367142,2.31372327
1.531e-05,0.0001,1.53e-05,1.98e-06,1.423e-05,0.46466911,2.31933164
1.523e-05,0.0001,1.522e-05,2.15e-06,1.389e-05,0.45604175,2.32457075
1.514e-05,0.0001,1.514e-05,2.03e-06,1.356e-05,0.44776944,2.32947199
1.505e-05,0.0001,1.505e-05,1.81e-06,1.324e-05,0.43963483,2.33417708
1.499e-05,0.0001,1.498e-05,2.4e-06,1.3e-05,0.43383877,2.33746132
1.492e-05,0.0001,1.492e-05,2.67e-06,1.279e-05,0.42845694,2.3404607
1.488e-05,0.0001,1.488e-05,4.11e-06,1.264e-05,0.42470437,2.3425238
1.485e-05,0.0001,1.485e-05,2.68e-06,1.253e-05,0.42195878,2.34401867
1.482e-05,0.0001,1.482e-05,2.38e-06,1.243e-05,0.41922625,2.34549426
1.479e-05,0.0001,1.479e-05,2.35e-06,1.233e-05,0.41680803,2.34679004
1.476e-05,0.0001,1.476e-05,2.01e-06,1.224e-05,0.41440019,2.3480709
1.473e-05,0.0001,1.473e-05,2.69e-06,1.214e-05,0.41197236,2.34935299
1.469e-05,0.0001,1.469e-05,2.66e-06,1.202e-05,0.40910358,2.35085582
1.466e-05,0.0001,1.465e-05,3e-06,1.191e-05,0.4063997,2.3522603
1.461e-05,0.0001,1.461e-05,3.46e-06,1.177e-05,0.4026643,2.35418162
1.456e-05,0.0001,1.456e-05,4.56e-06,1.161e-05,0.39860576,2.35624436
1.451e-05,0.0001,1.451e-05,2.99e-06,1.145e-05,0.39457888,2.35826567
1.448e-05,0.0001,1.447e-05,2.64e-06,1.133e-05,0.39140452,2.35984139
1.443e-05,0.0001,1.443e-05,2.41e-06,1.121e-05,0.38825018,2.36139184
1.437e-05,0.0001,1.437e-05,3.9e-06,1.105e-05,0.3844875,2.36322143
1.433e-05,0.0001,1.433e-05,4.97e-06,1.093e-05,0.38138977,2.36471156
1.43e-05,0.0001,1.43e-05,9.76e-06,1.083e-05,0.37883072,2.36593163
1.428e-05,0.0001,1.428e-05,9.52e-06,1.076e-05,0.37664305,2.36696683
1.427e-05,0.0001,1.427e-05,3.13e-06,1.069e-05,0.37446554,2.36799011
1.425e-05,0.0001,1.425e-05,3.88e-06,1.061e-05,0.37214866,2.36907111
1.422e-05,0.0001,1.422e-05,5.57e-06,1.052e-05,0.36994192,2.3700933
1.418e-05,0.0001,1.418e-05,5.66e-06,1.041e-05,0.36695491,2.37146544
1.414e-05,0.0001,1.414e-05,3.53e-06,1.028e-05,0.36333208,2.37311201
1.408e-05,0.0001,1.408e-05,9.48e-06,1.01e-05,0.35870247,2.37518818
1.404e-05,0.0001,1.404e-05,1.088e-05,9.97e-06,0.35489808,2.37687092
1.402e-05,0.0001,1.402e-05,1.851e-05,9.85e-06,0.35112732,2.37851812
1.404e-05,0.0001,1.404e-05,2.321e-05,9.74e-06,0.34671657,2.38041895
1.412e-05,0.0001,1.412e-05,9.83e-06,9.63e-06,0.34108523,2.38280542
1.415e-05,0.0001,1.415e-05,4.1e-06,9.49e-06,0.33508332,2.38529948
1.412e-05,0.0001,1.411e-05,2.19e-06,9.37e-06,0.33196855,2.38657382
1.407e-05,0.0001,1.406e-05,9.43e-06,9.26e-06,0.32932611,2.38764428
1.403e-05,0.0001,1.403e-05,1.81e-06,9.17e-06,0.3267018,2.38869776
1.398e-05,0.0001,1.398e-05,4.41e-05,9.04e-06,0.32340036,2.39000948
1.403e-05,0.0001,1.403e-05,9.223e-05,8.99e-06,0.32042617,2.39117828
1.44e-05,0.0001,1.44e-05,5.29e-06,9.13e-06,0.31681513,2.39258097
1.468e-05,0.0001,1.468e-05,6.5e-05,9.18e-06,0.31270411,2.39415614
1.483e-05,0.0001,1.483e-05,4.409e-05,9.16e-06,0.30893139,2.3955814
1.51e-05,0.0001,1.51e-05,7.391e-05,9.22e-06,0.30547994,2.39686838
1.538e-05,0.0001,1.538e-05,1.981e-05,9.3e-06,0.30224247,2.39806094
1.552e-05,0.0001,1.552e-05,1.203e-05,9.31e-06,0.29998647,2.39888362
1.552e-05,0.0001,1.552e-05,1.742e-05,9.24e-06,0.29774552,2.39969406
1.551e-05,0.0001,1.551e-05,0.0001374,9.17e-06,0.29545019,2.40051719
1.577e-05,0.0001,1.577e-05,1.44e-05,9.25e-06,0.29336949,2.40125728
1.607e-05,0.0001,1.606e-05,7.31e-06,9.35e-06,0.29095924,2.40210739
1.604e-05,0.0001,1.603e-05,5.181e-05,9.26e-06,0.28865805,2.40291183
1.61e-05,0.0001,1.61e-05,2.95e-06,9.21e-06,0.28606852,2.40380869
1.615e-05,0.0001,1.615e-05,2.663e-05,9.17e-06,0.28369242,2.40462384
1.614e-05,0.0001,1.614e-05,1.238e-05,9.09e-06,0.28169565,2.40530311
1.615e-05,0.0001,1.615e-05,3.58e-06,9.03e-06,0.27971164,2.40597285
1.611e-05,0.0001,1.61e-05,4.83e-06,8.94e-06,0.27766425,2.40665857
1.606e-05,0.0001,1.605e-05,2.249e-05,8.86e-06,0.27599413,2.40721388
1.604e-05,0.0001,1.604e-05,2.598e-05,8.8e-06,0.27433319,2.40776253
1.606e-05,0.0001,1.605e-05,4.634e-05,8.77e-06,0.27310329,2.40816648
1.611e-05,0.0001,1.61e-05,2.843e-05,8.76e-06,0.27187843,2.40856681
1.617e-05,0.0001,1.617e-05,0.00010311,8.74e-06,0.27039717,2.40904835
1.632e-05,0.0001,1.631e-05,7.865e-05,8.78e-06,0.26900184,2.40949934
1.655e-05,0.0001,1.655e-05,2.33e-05,8.86e-06,0.26755346,2.40996482
1.665e-05,0.0001,1.665e-05,1.48e-05,8.87e-06,0.26617631,2.41040488
1.665e-05,0.0001,1.665e-05,3.635e-05,8.81e-06,0.26461353,2.4109013
1.668e-05,0.0001,1.667e-05,1.602e-05,8.77e-06,0.26305222,2.4113941
